fabricante,nome,codigo,hex,volume,notas
Acrilex,Rosa Escuro,542,#EE9BB4,,
Acrilex,Azul Turquesa,501,#3B5383,,
Acrilex,Azul Celeste,503,#48B5E2,,
Acrilex,Areia,817,#F4DDCA,,
Acrilex,Verde Folha,510,#51B94D,,
Acrilex,Marrom,531,#AE6650,,
Acrilex,Verde Musgo,513,#406434,,
Acrilex,Branco,519,#FFFFFF,,
Acrilex,Amarelo Ouro,505,#FEBA11,,
Acrilex,Vermelho Escarlate,508,#AC2F33,,
Acrilex,Vermelho Fogo,507,#E54A34,,
Acrilex,Amarelo Pêssego,538,#FAE1D0,,
Acrilex,Marrom Escuro,526,#815547,,
Acrilex,Violeta Escuro,917,#65316C,,
Acrilex,Concreto,819,#A89A82,,
Acrilex,Azul Água,919,#DEF2FD,,
Acrilex,Cinza,933,#D2DADC,,
Acrilex,Verde Soft,897,#F7F8DA,,
Acrilex,Azul Intenso,578,#384798,,
Acrilex,Betume Tabaco,954,#4A3520,,cor aproximada (fora do catálogo)
Acrilex,Roxo,918,#7468A8,,
Acrilex,Areia Rosada,929,#FAE1D0,,
Acrilex,Creme,903,#FCFAE7,,
Acrilex,Areia Lunar,879,#B3BEAE,,
Acrilex,Salmão,518,#F79C83,,
Acrilex,Azul Marinho,544,#34446E,,
Acrilex,Verde Alecrim,898,#D6E47D,,
Acrilex,Bronze,556,#8C5A2B,,cor aproximada (fora do catálogo)
Acrilex,Prata,533,#C0C0C0,,cor aproximada (fora do catálogo)
Acrilex,Dourado Solar,598,#E3B341,,cor aproximada (fora do catálogo)
Acrilex,Verde Esmeralda,571,#004433,,
Acrilex,Cobre,534,#B87333,,cor aproximada (fora do catálogo)
Acrilex,Ouro,532,#C9A227,,cor aproximada (fora do catálogo)
Acrilex,Amarelo Limão,504,#F4EE42,,
Acrilex,Verde Maçã,802,#A5BE39,,
Acrilex,Sépia,551,#52483B,,
Acrilex,Ocre,904,#E4D0A0,,
Acrilex,Camurça Queimada,818,#DEB28F,,
Acrilex,Rústico,896,#47321B,,
Acrilex,Capuccino,585,#AF8F77,,
Corfix,Verde Seco,368,#8E9A82,,
Corfix,Areia,311,#E9DFC4,,
Corfix,Verde Oliva,331,#6E6E4A,,
Corfix,Amarelo Pele,306,#F0D6BE,,
Corfix,Marrom Claro,362,#A08A7A,,
Corfix,Amarelo Ocre,353,#C08A46,,
Corfix,Vinho,314,#4E2E3E,,
Corfix,Verde Bandeira,337,#3E7A54,,
Green Stuff World,Cyber Yellow,1781,#F2D12C,,
Green Stuff World,Marine Blue,1792,#12407E,,
Green Stuff World,Warcry Green,1799,#3E6121,,
Green Stuff World,Sun-Bleached Bone,1823,#D1904E,,
Green Stuff World,Bestial Brown,1833,#2D1E01,,
Green Stuff World,Lollipop Magenta,1839,#AB0061,,
Green Stuff World,Elven Flesh,1845,#F2AA82,,
Green Stuff World,Red Truth,3717,#EC2005,,
Green Stuff World,Vomit Colour,2599,#B49023,,cor aproximada (fora do catálogo)
Green Stuff World,Fang White,3207,#FFFBDD,,
Green Stuff World,Temple Ochre,3211,#CA9F5B,,
Green Stuff World,Flesh Rose,3216,#D16855,,
Green Stuff World,Rotten Green,3230,#77932C,,
Green Stuff World,Yoda Green,3232,#557C5D,,
Green Stuff World,Maxx Darth - The Blackest Black,11947,#050505,,cor aproximada (fora do catálogo)
AK Interactive,Brick Red,AK11093,#9E4429,,
AK Interactive,Sunny Skin Tone,AK11005,#E4EECC,,
AK Interactive,Deep Brown,AK11102,#854A2A,,
AK Interactive,Basic Skin Tone,AK11052,#F7B57B,,
Vallejo,Skin Tone,72099,#E5AB85,,
Vallejo,Yellow Ink,72085,#EBA90C,,
Vallejo,Scarlet Blood,72106,#C22222,,
Vallejo,Royal Purple,72016,#302337,,
Vallejo,Bile Green,72122,#D5D900,,
Vallejo,Goblin Green,72030,#576033,,
Vallejo,Sick Green,72029,#406037,,
Vallejo,Dark Green,72028,#1F3727,,
Vallejo,Basic Skintone,70.815,#E9AC8D,,
